@@@numDocs=3233@@@
a,510
a brand,1
a case,1
a champ,1
a cheap,1
a citizenship,1
a computer,1
a contender,1
a day,1
a decent,1
a design,1
a duet,1
a feel,1
a few,2
a foundation,1
a free,2
a good,1
a google,6
a great,4
a hookup,1
a job,2
a local,1
a major,1
a microsoft,12
a must,1
a new,26
a positive,1
a post,1
a product,1
a readable,1
a really,1
a run,1
a sense,1
a step,1
a thorn,1
a touchscreen,17
a tv,1
a very,1
a website,1
a weekend,1
a while,1
abandoned,1
abandoned facebook,1
about,56
about about,1
about erp,1
about google,1
about how,1
about importance,2
about ios,1
about privacy,1
about the,2
about to,2
above,2
above and,1
above previous,1
absolutely,2
absolutely a,1
absolutely loving,1
access,1
access to,1
accompanying,1
accompanying phone,1
according,6
according to,6
actionpretty,1
actionpretty impressive,1
acts,1
acts like,1
actually,5
actually do,2
actually gets,1
actually the,1
actually work,1
add,7
add me,1
addicted,6
addicted to,1
addicted welcome,1
adding,2
adding more,1
adding video,1
admit,1
admit apple,1
admitting,1
admitting youre,1
adopted,1
adopted a,1
advanced,1
advanced control,1
affair,1
affair httptcoexbnqjy,1
after,23
after all,1
after drying,1
after just,1
after release,1
again,7
again getting,1
again yessss,1
again yrs,1
agree,5
agree to,1
ahead,1
ahead of,1
ahhfuckitsguss,1
ahhfuckitsguss twitter,1
air,1
air smallvictory,1
aka,1
aka it,1
album,1
album in,1
alexlindsay,1
alexlindsay my,1
all,76
all amazing,1
all apple,1
all day,1
all do,1
all it,1
all marketing,1
all of,2
all other,1
all scream,1
all searches,1
all that,1
all the,7
all this,1
almost,2
almost bought,1
almost had,1
almost ice,1
alone,1
alone is,1
along,1
along with,1
alright,1
alright well,1
always,8
always shows,1
am,22
am crazy,1
am dying,1
am not,1
am searching,1
am sooo,1
am using,1
amazed,1
amazed by,1
amazing,17
amazing and,1
amazing call,1
amazing creative,1
amazing hope,1
amazing httptcoqmgira,1
amazing i,1
amazing im,1
amazing interested,1
amazing new,1
amazing on,1
amazing siri,1
amazing siris,1
amazing things,1
amazing what,1
amazon,19
amazon s,1
ammmylewis,1
ammmylewis did,1
amount,1
amount of,1
amp,1
amp twitter,1
an,86
an android,3
an apple,20
an awesome,1
an get,1
an ice,1
an in,1
an infinite,1
an ios,2
an iphone,1
an old,1
an unexpected,1
and,352
and a,1
and adding,1
and all,1
and apple,13
and be,1
and beyond,2
and ceremoniously,2
and completes,1
and email,1
and entertaining,1
and first,1
and forth,1
and futuristic,1
and gave,1
and google,9
and googles,1
and have,1
and i,8
and ice,1
and im,5
and it,1
and less,1
and lion,1
and lost,1
and microsoft,4
and my,4
and net,1
and new,1
and now,3
and offering,1
and only,1
and os,1
and pc,1
and replacing,1
and responsive,1
and samsung,6
and see,3
and showing,1
and social,1
and started,1
and the,10
and then,1
and they,3
and twitter,1
and useful,1
and we,1
and where,1
and widget,1
and wiped,1
and works,1
and xero,1
android,404
android again,1
android aka,1
android apple,1
android bitlynejbye,8
android conversations,1
android device,1
android devices,1
android features,1
android for,1
android google,100
android how,1
android httptcoaxlkgs,1
android httptcobgkimgjf,1
android httptcovkvtbcj,1
android ice,44
android icecream,2
android icecreamsandwich,17
android ics,28
android introducing,1
android is,3
android nexus,1
android os,2
android samsung,7
android sdk,7
android to,1
android update,1
android was,1
android whenever,1
android wonder,1
androidbeam,1
androidbeam wowww,1
angrybirds,1
angrybirds google,1
announced,7
another,19
another gem,1
another great,2
another way,1
answers,1
